id,name,station_name,small_area,middle_area,lat,lng,budget.average,capacity,open,parking,child,mobile_access,wifi,card,non_smoking,url,walk_minutes,budget_numeric,wifi_flag,card_flag,non_smoking_score,parking_flag,child_flag,closed_days,closed_days_count,lunch_flag,midnight_flag,business_style,style_weekday_off,style_weekend_off,area_store_count,cluster
J003559223,おかゆと麺 粥餐庁 グランフロント大阪店,大阪,大阪駅前・大阪駅構内,梅田,34.7033836786,135.4944854031,1500円,40.0,月～日、祝日、祝前日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,なし,お子様連れ不可,大阪駅すぐ,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003559223/?vos=nhppalsa000016,1.0,1500.0,0,1,2,0,0,なし,0,0,0,no_off,0,0,89,2
J003388664,推し活cafe&bar #北新地Mina,北新地,北新地,梅田,34.7002197453,135.5010213269,,10.0,火～日: 14:00～19:30 （料理L.O. 18:00 ドリンクL.O. 18:00）祝前日: 14:00～20:30 （料理L.O. 19:00 ドリンクL.O. 19:00）,なし,お子様連れ不可,大阪ﾒﾄﾛ谷町線東梅田駅7出口より徒歩約4分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003388664/?vos=nhppalsa000016,4.0,,0,1,2,0,0,月,1,0,0,weekday_off,1,0,89,2
J003850755,ofu オフ,北浜,西天満,梅田,34.69332932,135.5088125453,2000円,14.0,月、水～日、祝日、祝前日: 08:00～17:00,なし,お子様連れ歓迎,北浜駅から徒歩5分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ003850755/?vos=nhppalsa000016,5.0,2000.0,1,1,2,0,1,火,1,1,0,weekday_off,1,0,89,0
J003916200,カカオティエゴカン KITTE大阪店,西梅田,大阪駅前・大阪駅構内,梅田,34.7006228735,135.4941585813,,14.0,月～日、祝日、祝前日: 11:00～20:00,なし,お子様連れ不可,西梅田駅から163m,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003916200/?vos=nhppalsa000016,2.0,,0,1,2,0,0,なし,0,0,0,no_off,0,0,89,2
J003762043,cafe&bar seed シード,東梅田,お初天神,梅田,34.6993690254,135.5017460146,ランチ：1000円　ディナー：3000円,29.0,月～木、祝日: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）金、土、祝前日: 11:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）日: 13:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,なし,お子様連れOK,谷町線東梅田駅7出口より徒歩約4分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ003762043/?vos=nhppalsa000016,4.0,2000.0,1,1,2,0,1,なし,0,1,1,no_off,0,0,89,4
J001274893,カフェ&BAR 梅田ホリックホテル内,東梅田,太融寺,梅田,34.7009405823,135.5047037574,ランチ1000～1500円,50.0,月～日、祝日、祝前日: 11:30～22:00 （ドリンクL.O. 21:30）,あり,お子様連れOK,大阪ﾒﾄﾛ谷町線 / 東梅田駅(出入口7) 徒歩7分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001274893/?vos=nhppalsa000016,7.0,1250.0,1,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J003625273,カフェ＆バー KARIN×un-treize,北新地,北新地,梅田,34.6960971358,135.5000640511,ランチ2000～、ディナー3000～,16.0,水～日、祝日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～22:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,なし ：近隣にコインパーキングあり。,お子様連れOK,JR東西線北新地駅11-23出口より徒歩約8分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ003625273/?vos=nhppalsa000016,8.0,2500.0,1,1,2,0,1,月、火,2,1,0,weekday_off,1,0,89,0
J001133520,カフェチーポオイト CAFE TIPO8,中津,茶屋町・中崎町・中津,梅田,34.7054119887,135.4914425452,ランチ平均予算　1300円/ディナーはご予約のみ,30.0,月～金: 09:00～18:00 （料理L.O. 17:30 ドリンクL.O. 17:30）土、日、祝日: 10:00～18:00 （料理L.O. 17:30 ドリンクL.O. 17:30）,なし ：近くに有料Ｐあります。,お子様連れOK ：ママ会づかいにも◎,阪急中津駅より徒歩5分 大阪駅より徒歩10分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001133520/?vos=nhppalsa000016,5.0,1300.0,1,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J001039634,Cafe Tokiona,天満橋,お初天神,梅田,34.6930195209,135.5159469308,昼1000円／夜1000円～3000円,24.0,月: 07:00～15:00火、木～日、祝日、祝前日: 07:00～11:00,なし,お子様連れOK,天満橋駅から徒歩10分です｡,なし,利用不可,全面禁煙,https://www.hotpepper.jp/strJ001039634/?vos=nhppalsa000016,10.0,1000.0,0,0,2,0,1,水,1,1,0,weekday_off,1,0,89,1
J001039528,KAYA CAFE 中崎町,中崎町,茶屋町・中崎町・中津,梅田,34.7092812728,135.5034641375,680円,23.0,月～金、祝前日: 11:00～19:00 （料理L.O. 18:00 ドリンクL.O. 18:00）土、日、祝日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,なし,お子様連れ不可,谷町線中崎町駅より徒歩5分です｡,なし,利用不可,全面禁煙,https://www.hotpepper.jp/strJ001039528/?vos=nhppalsa000016,5.0,680.0,0,0,2,0,0,なし,0,0,0,no_off,0,0,89,2
J001208068,韓国かき氷 パッピンス スノウフェアリー,大阪梅田,東通り,梅田,34.7042754326,135.5026054944,1000円,60.0,月～日、祝日、祝前日: 12:00～17:00 （料理L.O. 16:30 ドリンクL.O. 16:30）,なし ：お近くのパーキングをご利用ください。,お子様連れ不可 ：貸切時のみ可,各線梅田駅徒歩5分!阪急東中通り商店街｡,未確認,利用可,一部禁煙,https://www.hotpepper.jp/strJ001208068/?vos=nhppalsa000016,5.0,1000.0,0,1,1,0,0,なし,0,1,0,no_off,0,0,89,2
J000109483,カンテグランデ 中津本店,中津,茶屋町・中崎町・中津,梅田,34.7131564691,135.4949908594,"ランチ/ディナー共に約1,000円",85.0,月～日、祝日、祝前日: 11:00～17:00 （料理L.O. 16:00 ドリンクL.O. 16:30）,なし,お子様連れ歓迎,大阪ﾒﾄﾛ中津駅5出口･阪急中津駅出口より徒歩約7分,なし,利用不可,全面禁煙,https://www.hotpepper.jp/strJ000109483/?vos=nhppalsa000016,7.0,0.5,0,0,2,0,1,なし,0,1,0,no_off,0,0,89,4
J000017055,キーフェル カフェダイニング阪急グランドビル30F,東梅田,茶屋町・中崎町・中津,梅田,34.7031790831,135.4989397419,1500円,70.0,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,あり ：（共有337台）,お子様連れ歓迎 ：お子様もぜひ♪,地下鉄谷町線東梅田駅 徒歩5分,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ000017055/?vos=nhppalsa000016,5.0,1500.0,0,0,2,1,1,なし,0,1,0,no_off,0,0,89,4
J000798904,喫茶&Bar King of Kings キングオブキングス,北新地,大阪駅前・大阪駅構内,梅田,34.6988872902,135.496437885,通常2000円,70.0,月～土: 12:00～22:30 （料理L.O. 22:15 ドリンクL.O. 22:15）,なし ：近隣にパーキングあり,お子様連れ歓迎 ：※もちろん歓迎です。,JR大阪駅徒歩5分･西梅田駅･北新地駅徒歩1分,あり,利用可,禁煙席なし,https://www.hotpepper.jp/strJ000798904/?vos=nhppalsa000016,5.0,2000.0,1,1,0,1,1,日,1,1,0,weekend_off,0,1,89,4
J000827278,グランカフェ The Grand Cafe ヒルトンプラザウエスト,西梅田,西梅田,梅田,34.699721335,135.4952671259,,78.0,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:00）,なし,お子様連れOK,JR 大阪駅 徒歩5分/地下鉄御堂筋線 梅田駅 徒歩5分 ,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ000827278/?vos=nhppalsa000016,5.0,,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J001286900,GATE2 FIELDER'S CHOICE,大阪,大阪駅前・大阪駅構内,梅田,34.7042555296,135.4947253524,,21.0,月～日、祝日、祝前日: 10:00～21:00 （料理L.O. 21:00）,あり ：施設,お子様連れ歓迎,JR大阪駅中央北口より徒歩約4分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001286900/?vos=nhppalsa000016,4.0,,1,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J000638054,幻想の国のアリス,大阪梅田,茶屋町・中崎町・中津,梅田,34.7070008351,135.4973869701,1500円,71.0,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,なし ：近隣のコインパーキングをご利用ください。飲酒の際はお車でのご来店はご遠慮ください。,お子様連れ歓迎 ：お子様も楽しんでいただけるコンセプトカフェです。,阪急梅田駅から徒歩1分☆DDﾊｳｽ1階,なし,利用可,全面禁煙,https://www.hotpepper.jp/strJ000638054/?vos=nhppalsa000016,1.0,1500.0,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J001279152,紅茶美人 Tea Beauty,中崎町,茶屋町・中崎町・中津,梅田,34.7069945544,135.5020123982,,9.0,月、水～日、祝日、祝前日: 11:00～19:00,なし,お子様連れ不可,大阪ﾒﾄﾛ谷町線中崎町駅4出口より徒歩約4分,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ001279152/?vos=nhppalsa000016,4.0,,0,0,2,0,0,火,1,0,0,weekday_off,1,0,89,2
J003450167,神戸元町ドリア リンクス梅田店,梅田,グランフロント・大阪駅北側,梅田,34.7046033018,135.4961866014,2000円,50.0,月～日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,なし,お子様連れ歓迎 ：お子様メニューと、お子様イスご用意あり◎,地下鉄御堂筋線 梅田駅 徒歩1分,なし,利用可,全面禁煙,https://www.hotpepper.jp/strJ003450167/?vos=nhppalsa000016,1.0,2000.0,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J004049765,GOKAN PARLOIR ゴカンパーラー,大阪,グランフロント・大阪駅北側,梅田,34.7024845609,135.4921970232,,42.0,月～日、祝日、祝前日: 11:00～21:00,なし,お子様連れ不可,大阪駅から317m,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ004049765/?vos=nhppalsa000016,4.0,,0,1,2,0,0,なし,0,0,0,no_off,0,0,89,2
J003341422,KONA CAFE コナカフェ,梅田,茶屋町・中崎町・中津,梅田,34.7033013133,135.4998835439,1200円,40.0,月～日、祝日、祝前日: 11:00～22:30 （料理L.O. 21:45 ドリンクL.O. 22:00）,なし,お子様連れ歓迎,ﾅﾋﾞｵﾀﾞｲﾆﾝｸﾞ7階 阪急大阪梅田駅3分!,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003341422/?vos=nhppalsa000016,3.0,1200.0,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J003599992,KOREAN KITCHEN K-LOVERS HEP FIVE店,梅田,茶屋町・中崎町・中津,梅田,34.7040923467,135.5004045824,1000円,30.0,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,なし,お子様連れ歓迎,大阪ﾒﾄﾛ御堂筋線梅田駅11出口より徒歩約6分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ003599992/?vos=nhppalsa000016,6.0,1000.0,1,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J001192831,The second room cafe,西梅田,西梅田,梅田,34.6996172674,135.4990270777,2200円（税込）,60.0,月、火、木、金、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土、日: 10:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,あり ：第四ビル地下駐車場（有料）,お子様連れ歓迎 ：お子様連れ大歓迎です。ママ友会にもぴったりな完全個室。,大阪駅前第4ﾋﾞﾙB1F地下鉄御堂筋線梅田駅 徒歩4分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001192831/?vos=nhppalsa000016,4.0,2200.0,1,1,2,1,1,水,1,1,0,weekday_off,1,0,89,4
J001287133,THE GUT'S COFFEE,中崎町,茶屋町・中崎町・中津,梅田,34.7082992104,135.5055417667,600円,6.0,月～日、祝日、祝前日: 09:30～18:00 （ドリンクL.O. 18:00）,なし,お子様連れ不可,大阪ﾒﾄﾛ谷町線｢中崎町駅｣から徒歩3分,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ001287133/?vos=nhppalsa000016,3.0,600.0,0,0,2,0,0,なし,0,0,0,no_off,0,0,89,2
J004558516,THE C's SKY CAFE ,大江橋,北新地,梅田,34.6954327771,135.5005065349,ランチ：2000円～2999円(税込),58.0,月～日、祝日、祝前日: 09:00～16:00 （料理L.O. 15:30 ドリンクL.O. 15:30）,あり ：（有料）大阪堂島浜タワー駐車場　154台,お子様連れOK ：乳児可、未就学児可、小学生可、ベビーカー入店可,淀屋橋駅から徒歩6分/大阪駅から徒歩約10分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ004558516/?vos=nhppalsa000016,6.0,2499.5,0,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J001293342,THE MATCHA TOKYO ルクア大阪,大阪,大阪駅前・大阪駅構内,梅田,34.7027343187,135.4949506622,,4.0,月～日、祝日、祝前日: 11:00～23:00,なし,お子様連れ不可,JR大阪駅中央北口より徒歩約0分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ001293342/?vos=nhppalsa000016,0.0,,0,1,2,0,0,なし,0,0,0,no_off,0,0,89,2
J003323616,サロンカフェ 零,中崎町,茶屋町・中崎町・中津,梅田,34.7078186808,135.5043080023,,14.0,月～水、金～日、祝日、祝前日: 12:00～19:00 （料理L.O. 18:30 ドリンクL.O. 18:30）,なし,お子様連れ不可,地下鉄谷町線｢中崎町駅｣から徒歩約5分,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ003323616/?vos=nhppalsa000016,5.0,,0,0,2,0,0,木,1,0,0,weekday_off,1,0,89,2
J001262728,幸せのパンケーキ 梅田店,梅田,東通り,梅田,34.7022928699,135.5021719888,ランチ1001～1500円/ディナー1001～1500円,48.0,月～金: 11:00～20:00 （料理L.O. 19:15 ドリンクL.O. 19:15）土、日、祝日: 10:00～20:30 （料理L.O. 19:45 ドリンクL.O. 19:45）,なし,お子様連れOK,大阪市営地下鉄谷町線  地下街M-10出口 すぐ,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ001262728/?vos=nhppalsa000016,1.0,1250.5,0,0,2,0,1,なし,0,0,0,no_off,0,0,89,1
J004469508,SIK eatery シックイータリー グラングリーン大阪店,中津,グランフロント・大阪駅北側,梅田,34.7035730319,135.4914870484,昼：1000円～1999円/夜：3000円～4000円,20.0,月～金: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土、日、祝日: 08:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,なし,お子様連れ歓迎,JR大阪駅西口より徒歩約5分,なし,利用可,全面禁煙,https://www.hotpepper.jp/strJ004469508/?vos=nhppalsa000016,5.0,1499.5,0,1,2,0,1,なし,0,1,0,no_off,0,0,89,0
J000447163,ジャックと豆の木  ヘップ HEPナビオ店,大阪梅田,茶屋町・中崎町・中津,梅田,34.7034068636,135.5001729594,[ランチ]950円～　[ディナー]950円～,34.0,月、火、日: 09:00～20:00 （料理L.O. 19:45 ドリンクL.O. 19:45）水～金、祝日: 09:00～21:00 （料理L.O. 20:45 ドリンクL.O. 20:45）土、祝前日: 09:30～21:00 （料理L.O. 20:45 ドリンクL.O. 20:45）,なし ：近隣の駐車場をご利用ください。,お子様連れOK ：お子様連れOKです。,地下鉄御堂筋線梅田駅徒歩3分/阪急線梅田駅徒歩3分,未確認,利用不可,禁煙席なし,https://www.hotpepper.jp/strJ000447163/?vos=nhppalsa000016,3.0,950.0,0,0,0,0,1,なし,0,1,0,no_off,0,0,89,1
J001277074,タルト&カフェ デリス LINKS UMEDA店,大阪,グランフロント・大阪駅北側,梅田,34.7040953055,135.4962532795,1500円,64.0,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,なし,お子様連れOK,JR大阪駅 徒歩1分 / 大阪ﾒﾄﾛ梅田駅 徒歩1分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001277074/?vos=nhppalsa000016,1.0,1500.0,1,1,2,0,1,なし,0,0,0,no_off,0,0,89,4
J000981074,Tsuchi ツチ 梅田茶屋町店,大阪梅田,茶屋町・中崎町・中津,梅田,34.7072703007,135.4996145434,【ランチ】約2000円/【カフェ】1400円/【ディナー】4000円,88.0,月～日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 15:00）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,なし ：お近くのコインパーキングをご利用ください♪,お子様連れOK ：お子様もぜひお越しください♪,阪急大阪梅田駅徒歩3分｡NU茶屋町ﾌﾟﾗｽ3F,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ000981074/?vos=nhppalsa000016,3.0,1700.0,1,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
J000805702,ホテル阪急インターナショナル ティーラウンジ パルテール,大阪梅田,茶屋町・中崎町・中津,梅田,34.7084898602,135.4985740376,1000円～　デザートは1500円前後,74.0,月～日、祝日、祝前日: 09:00～19:30 （料理L.O. 19:00 ドリンクL.O. 19:00）,あり ：共用　170台,お子様連れ歓迎,阪急大阪田駅茶屋町口徒歩3分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ000805702/?vos=nhppalsa000016,3.0,1250.0,1,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J003365270,テータティーハウス,大江橋,西天満,梅田,34.6968365837,135.5038317513,,8.0,水～土: 14:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）日: 14:00～19:00 （料理L.O. 18:30 ドリンクL.O. 18:30）,なし,お子様連れ不可,京阪中之島線大江橋駅5出口より徒歩約9分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003365270/?vos=nhppalsa000016,9.0,,0,1,2,0,0,月、火,2,0,0,weekday_off,1,0,89,2
J003984227,どっとぐりーく .greek,中崎町,茶屋町・中崎町・中津,梅田,34.7088952087,135.5036005276,,15.0,月～日、祝日、祝前日: 11:00～18:00,なし,お子様連れ歓迎,中崎町から徒歩5分,未確認,利用不可,全面禁煙,https://www.hotpepper.jp/strJ003984227/?vos=nhppalsa000016,5.0,,0,0,2,0,1,なし,0,0,0,no_off,0,0,89,1
J003532885,猫と水煙草,中崎町,茶屋町・中崎町・中津,梅田,34.7113149955,135.5062552125,,20.0,月～水、金～日、祝日、祝前日: 12:00～21:00,なし,お子様連れ不可,中崎町駅2出口より徒歩約9分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ003532885/?vos=nhppalsa000016,9.0,,0,1,2,0,0,木,1,0,0,weekday_off,1,0,89,2
J001285506,KNOT MARKET PLACE,中津,茶屋町・中崎町・中津,梅田,34.7081488197,135.4879852551,,20.0,月、火、木、金: 11:00～17:00 （料理L.O. 16:00 ドリンクL.O. 16:30）土、日、祝日: 11:00～18:00 （料理L.O. 17:00 ドリンクL.O. 17:30）,なし,お子様連れ歓迎,阪急中津駅西出口より徒歩約12分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001285506/?vos=nhppalsa000016,12.0,,1,1,2,0,1,水,1,1,0,weekday_off,1,0,89,0
J004492275,HARNEY & SONS KITTE キッテ 大阪店,西梅田,大阪駅前・大阪駅構内,梅田,34.7007700848,135.4944079989,,30.0,月～日、祝日、祝前日: 09:00～20:00 （料理L.O. 19:00）,あり ：KITTE大阪の駐車場をご利用ください。,お子様連れ歓迎,大阪ﾒﾄﾛ四つ橋線西梅田駅5出口より徒歩約1分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ004492275/?vos=nhppalsa000016,1.0,,0,1,2,1,1,なし,0,0,0,no_off,0,0,89,4
J001283976,パフェ&ジェラート LARGO ルクアイーレ店,大阪,大阪駅前・大阪駅構内,梅田,34.7029412532,135.4955350484,平均予算は1000～1500円です。,54.0,月～日、祝日、祝前日: 10:30～20:30 （料理L.O. 19:30 ドリンクL.O. 20:00）,あり ：ルクア提携の駐車場。,お子様連れOK ：お子様連れもOKです,JR大阪駅1分,なし,利用可,全面禁煙,https://www.hotpepper.jp/strJ001283976/?vos=nhppalsa000016,1.0,1250.0,0,1,2,1,1,なし,0,1,0,no_off,0,0,89,4
J004049452,PULSE パルス 中崎町店,中崎町,茶屋町・中崎町・中津,梅田,34.7068615457,135.5033781164,,22.0,月～金、祝前日: 13:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）土、日、祝日: 12:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）,なし,お子様連れ不可,大阪ﾒﾄﾛ谷町線中崎町駅3出口より徒歩約4分,未確認,利用可,全面禁煙,https://www.hotpepper.jp/strJ004049452/?vos=nhppalsa000016,4.0,,0,1,2,0,0,なし,0,0,0,no_off,0,0,89,2
J001296003,HAROLD CAFE ～ハロルドカフェ～,大阪梅田,茶屋町・中崎町・中津,梅田,34.7058568866,135.5011863982,ランチプレート等お得なランチあり,130.0,月～金: 11:00～19:00 （料理L.O. 18:30 ドリンクL.O. 18:30）土、日、祝日: 11:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）,なし,お子様連れ歓迎 ：ママ会にもお使い下さいませ,大阪梅田(阪急)駅2階中央改札口より徒歩約5分,あり,利用可,全面禁煙,https://www.hotpepper.jp/strJ001296003/?vos=nhppalsa000016,5.0,,1,1,2,0,1,なし,0,1,0,no_off,0,0,89,4
